target_id,target_state,control_id,same_state,is_nominal_twin,structural_candidate,model_fit_executable,has_any_cs4_pairwise_support,structurally_executable,eligibility_status,n_train_xy,n_val_xy,ranking_tuple,is_primary_matched_control,target_group_id
PS_002,RJ,PS_007,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,8268,2756,1|0|0.5|0.0|0|520|351.97376|0.00,True,TW_04b9f5d95694
PS_002,RJ,PS_037,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,3692,1231,1|1|0.4|0.0|0|1400|5612.22208|0.00,False,TW_04b9f5d95694
PS_003,RJ,PS_007,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,8268,2756,1|0|0.5|0.0|0|520|351.97376|0.00,True,TW_04b9f5d95694
PS_003,RJ,PS_037,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,3692,1231,1|1|0.4|0.0|0|1400|5612.22208|0.00,False,TW_04b9f5d95694
PS_035,SP,PS_001,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,9222,3074,0|1|0.5|0.0|0|3902|6168.533248|0.00,False,TW_88a108921af7
PS_035,SP,PS_004,True,False,True,False,False,False,STRUCTURAL_CANDIDATE_UNFIT_AND_NO_CS4_SUPPORT,0,0,1|2|0.1|0.0|0|3680|11431.37536|0.00,False,TW_88a108921af7
PS_035,SP,PS_008,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,7707,2569,0|0|0.3|0.0|0|1344|515.172864|0.00,True,TW_88a108921af7
PS_035,SP,PS_009,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,9128,3043,0|3|0.1|0.0|0|6180|19197.25536|0.00,False,TW_88a108921af7
PS_035,SP,PS_010,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,5757,1919,0|1|0.0|0.0|0|3120|9691.81824|0.00,False,TW_88a108921af7
PS_035,SP,PS_011,True,False,True,True,True,True,ELIGIBLE_STRUCTURALLY_EXECUTABLE,7848,2616,0|1|0.0|0.0|0|2040|6336.95808|0.00,False,TW_88a108921af7
